"Left-hand Side","Right-hand side","Probability","Classification"
"('company', 'city', 'location')","('state',)","0.95341829326936","Soft"
"('company', 'city', 'location')","('country',)","0.9948019336352766","Soft"
"('company', 'city', 'country')","('country_code',)","1.0","Hard"
"('company', 'city', 'country')","('state',)","0.9210122418571297","Soft"
"('company', 'city', 'country')","('location',)","0.7776018201585204","No FD"
"('company', 'location', 'country')","('country_code',)","1.0","Hard"
"('company', 'location', 'country')","('state',)","0.9490509167365709","Soft"
"('company', 'location', 'country')","('city',)","0.9927367832834921","Soft"
"('country_code', 'state', 'city')","('company',)","0.4396890305547024","No FD"
"('country_code', 'state', 'city')","('location',)","0.5741362368268595","No FD"
"('country_code', 'state', 'city')","('country',)","1.0","Hard"
"('country_code', 'state', 'location')","('company',)","0.5761449993480838","No FD"
"('country_code', 'state', 'location')","('city',)","0.9985913336396031","Soft"
"('country_code', 'state', 'location')","('country',)","1.0","Hard"
"('country_code', 'state', 'country')","('company',)","0.4212086173956822","No FD"
"('country_code', 'state', 'country')","('city',)","0.9087317589579299","Soft"
"('country_code', 'state', 'country')","('location',)","0.5185690321332316","No FD"
"('country_code', 'city', 'location')","('company',)","0.5600405221589125","No FD"
"('country_code', 'city', 'location')","('state',)","0.9128824902016595","Soft"
"('country_code', 'city', 'location')","('country',)","1.0","Hard"
"('country_code', 'city', 'country')","('company',)","0.4216163999641558","No FD"
"('country_code', 'city', 'country')","('state',)","0.8499442100679768","No FD"
"('country_code', 'city', 'country')","('location',)","0.5389758970689735","No FD"
"('country_code', 'location', 'country')","('company',)","0.5576880826212818","No FD"
"('country_code', 'location', 'country')","('state',)","0.9019013449019258","Soft"
"('country_code', 'location', 'country')","('city',)","0.9873985557003055","Soft"
"('state', 'city', 'location')","('company',)","0.5745960443010749","No FD"
"('state', 'city', 'location')","('country_code',)","0.9939455753532119","Soft"
"('state', 'city', 'location')","('country',)","0.9939455753532119","Soft"
"('state', 'city', 'country')","('company',)","0.4396890305547024","No FD"
"('state', 'city', 'country')","('country_code',)","1.0","Hard"
"('state', 'city', 'country')","('location',)","0.5741362368268595","No FD"
"('state', 'location', 'country')","('company',)","0.5761449993480838","No FD"
"('state', 'location', 'country')","('country_code',)","1.0","Hard"
"('state', 'location', 'country')","('city',)","0.9985913336396031","Soft"
"('city', 'location', 'country')","('company',)","0.5600405221589125","No FD"
"('city', 'location', 'country')","('country_code',)","1.0","Hard"
"('city', 'location', 'country')","('state',)","0.9128824902016595","Soft"
